t,S_a,I_a,S_h,I_h,R_h
1.691691691691691813e+04,4.988993791210350901e+04,7.348725451805414650e+02,3.009535129185559344e+05,4.568692794444145022e+01,4.262106762060777692e+04
1.701701701701701677e+04,4.988990301387602085e+04,7.352509573304979540e+02,3.019663774772034376e+05,4.574784200366092790e+01,4.291131627615334583e+04
1.711711711711711905e+04,4.988986920518449915e+04,7.356177085422971231e+02,3.029742142183870310e+05,4.580813987245499419e+01,4.320103661192749860e+04
1.721721721721721769e+04,4.988983645214181161e+04,7.359731519152533110e+02,3.039770535797326593e+05,4.586783239336036644e+01,4.349022458659127733e+04
1.731731731731731998e+04,4.988980472192053276e+04,7.363176301621639368e+02,3.049749256878900924e+05,4.592693015000238432e+01,4.377887628321844386e+04
1.741741741741741862e+04,4.988977398293394799e+04,7.366514747712228655e+02,3.059678603342266870e+05,4.598544344051764199e+01,4.406698792308712291e+04
1.751751751751751726e+04,4.988974420422696130e+04,7.369750093110837952e+02,3.069558870621612878e+05,4.604338237362190966e+01,4.435455581691197585e+04
1.761761761761761954e+04,4.988971535588629922e+04,7.372885473905481604e+02,3.079390351104636211e+05,4.610075680644455076e+01,4.464157639678887790e+04
1.771771771771771819e+04,4.988968740892517962e+04,7.375923933742537884e+02,3.089173334310846985e+05,4.615757636464385172e+01,4.492804620637268818e+04
1.781781781781782047e+04,4.988966033551932924e+04,7.378868412562821959e+02,3.098908106590677053e+05,4.621385041244120373e+01,4.521396191789692966e+04
1.791791791791791911e+04,4.988963410833967646e+04,7.381721782693909972e+02,3.108594952034740127e+05,4.626958814575905166e+01,4.549932028142281342e+04
1.801801801801801776e+04,4.988960870100113243e+04,7.384486826433059150e+02,3.118234151887925691e+05,4.632479853326213970e+01,4.578411815781999030e+04
1.811811811811812004e+04,4.988958408792543196e+04,7.387166244158777317e+02,3.127825984744580928e+05,4.637949033639563368e+01,4.606835250800440554e+04
1.821821821821821868e+04,4.988956024457208696e+04,7.389762640582666791e+02,3.137370726198038901e+05,4.643367206764042265e+01,4.635202041272447968e+04
1.831831831831832096e+04,4.988953714684192528e+04,7.392278563035489469e+02,3.146868649776068050e+05,4.648735210078465485e+01,4.663511902036493120e+04
1.841841841841841961e+04,4.988951477146803518e+04,7.394716477656847928e+02,3.156320026341732009e+05,4.654053859978273522e+01,4.691764558065249730e+04
1.851851851851851825e+04,4.988949309588625329e+04,7.397078778259879073e+02,3.165725124302624608e+05,4.659323954341815721e+01,4.719959743311095372e+04
1.861861861861862053e+04,4.988947209845781617e+04,7.399367770200631185e+02,3.175084209246186074e+05,4.664546269424657510e+01,4.748097202761576045e+04
1.871871871871871917e+04,4.988945175793304952e+04,7.401585710759140966e+02,3.184397544836504967e+05,4.669721567926352890e+01,4.776176687441551621e+04
1.881881881881882146e+04,4.988943205379533174e+04,7.403734783978361520e+02,3.193665392248057178e+05,4.674850594099414280e+01,4.804197957595779735e+04
1.891891891891892010e+04,4.988941296614336170e+04,7.405817109875840742e+02,3.202888010366724920e+05,4.679934075653842740e+01,4.832160781581360061e+04
1.901901901901901874e+04,4.988939447590138298e+04,7.407834728443679069e+02,3.212065655471401988e+05,4.684972719326067647e+01,4.860064937662987359e+04
1.911911911911912102e+04,4.988937656434103701e+04,7.409789637232750010e+02,3.221198581984951743e+05,4.689967220991459129e+01,4.887910209833314730e+04
1.921921921921921967e+04,4.988935921336916363e+04,7.411683769311767946e+02,3.230287042035253835e+05,4.694918259593680432e+01,4.915696390281778440e+04
1.931931931931932195e+04,4.988934240543972555e+04,7.413519000485033530e+02,3.239331285600155243e+05,4.699826499015289727e+01,4.943423278600967751e+04
1.941941941941942059e+04,4.988932612373100710e+04,7.415297135981628571e+02,3.248331560260166298e+05,4.704692585317705067e+01,4.971090683182179055e+04
