t,S_a,I_a,S_h,I_h,R_h
2.372372372372372411e+04,4.994968151345127262e+04,3.365200653952297785e+02,3.860100697635269025e+05,3.800539938739289170e+01,4.616700660471011361e+04
2.382382382382382639e+04,4.994966211188008310e+04,3.366869122720267455e+02,3.868268040471207350e+05,3.803996681470452046e+01,4.636652999526873464e+04
2.392392392392392503e+04,4.994964306857578777e+04,3.368507154029678077e+02,3.876397393527741660e+05,3.807425075911901757e+01,4.656561791910399916e+04
2.402402402402402731e+04,4.994962437710170343e+04,3.370115280986295829e+02,3.884488955028314958e+05,3.810825449801265563e+01,4.676426926108796033e+04
2.412412412412412596e+04,4.994960603112974786e+04,3.371694028151094358e+02,3.892542921853677835e+05,3.814198126582090254e+01,4.696248294260172406e+04
2.422422422422422460e+04,4.994958802444046887e+04,3.373243911875176195e+02,3.900559489505212405e+05,3.817543425092624432e+01,4.716025792357684986e+04
2.432432432432432688e+04,4.994957035092041042e+04,3.374765440269924852e+02,3.908538852147957077e+05,3.820861659870757876e+01,4.735759320032862161e+04
2.442442442442442552e+04,4.994955300455748511e+04,3.376259112887490232e+02,3.916481202716943226e+05,3.824153141948264789e+01,4.755448780004739820e+04
2.452452452452452781e+04,4.994953597944293870e+04,3.377725421331738858e+02,3.924386732820190373e+05,3.827418178073322963e+01,4.775094078602454829e+04
2.462462462462462645e+04,4.994951926976854156e+04,3.379164849203957033e+02,3.932255632787078503e+05,3.830657071056746332e+01,4.794695125520358852e+04
2.472472472472472509e+04,4.994950286982999387e+04,3.380577872340795125e+02,3.940088091607459355e+05,3.833870114374183657e+01,4.814251834151883668e+04
2.482482482482482737e+04,4.994948677401787427e+04,3.381964958718803018e+02,3.947884297055975767e+05,3.837057600324248341e+01,4.833764120940889552e+04
2.492492492492492602e+04,4.994947097681694868e+04,3.383326568584822098e+02,3.955644435690911487e+05,3.840219819003397816e+01,4.853231905398604431e+04
2.502502502502502830e+04,4.994945547280793835e+04,3.384663154648986279e+02,3.963368692818271229e+05,3.843357054735395195e+01,4.872655110305043490e+04
2.512512512512512694e+04,4.994944025666445668e+04,3.385975162151663653e+02,3.971057252525876393e+05,3.846469587626125985e+01,4.892033661538958404e+04
2.522522522522522559e+04,4.994942532316646975e+04,3.387263028897152708e+02,3.978710297595754382e+05,3.849557699435281677e+01,4.911367488545116794e+04
2.532532532532532787e+04,4.994941066716897330e+04,3.388527185498477934e+02,3.986328009716771776e+05,3.852621662033698158e+01,4.930656523233681219e+04
2.542542542542542651e+04,4.994939628361965879e+04,3.389768055390874792e+02,3.993910569368264987e+05,3.855661744942528912e+01,4.949900700597622199e+04
2.552552552552552879e+04,4.994938216755498433e+04,3.390986054947642288e+02,4.001458155849286122e+05,3.858678214427386877e+01,4.969099958569784212e+04
2.562562562562562744e+04,4.994936831409813749e+04,3.392181593562486341e+02,4.008970947288392927e+05,3.861671333268776607e+01,4.988254237981685583e+04
2.572572572572572608e+04,4.994935471846191649e+04,3.393355073518293921e+02,4.016449120573541149e+05,3.864641361584288859e+01,5.007363482941051916e+04
2.582582582582582836e+04,4.994934137593652849e+04,3.394506890670727444e+02,4.023892851567952312e+05,3.867588555034507181e+01,5.026427639710191579e+04
2.592592592592592700e+04,4.994932828189661086e+04,3.395637434091451610e+02,4.031302314960843069e+05,3.870513166369419622e+01,5.045446657498504646e+04
2.602602602602602929e+04,4.994931543179752043e+04,3.396747086291986193e+02,4.038677684321943088e+05,3.873415445110484967e+01,5.064420488186719740e+04
2.612612612612612793e+04,4.994930282117576280e+04,3.397836223217449287e+02,4.046019132087143953e+05,3.876295635568487086e+01,5.083349086412957695e+04
2.622622622622622657e+04,4.994929044564939250e+04,3.398905214244538229e+02,4.053326829545178916e+05,3.879153974941770855e+01,5.102232409653415380e+04
2.632632632632632885e+04,4.994927830090703355e+04,3.399954422826053815e+02,4.060600946980185108e+05,3.881990703678854260e+01,5.121070417480723700e+04
2.642642642642642750e+04,4.994926638271519187e+04,3.400984206092406339e+02,4.067841653562785941e+05,3.884806056055907675e+01,5.139863072148889478e+04
2.652652652652652978e+04,4.994925468691438437e+04,3.401994915091980261e+02,4.075049117395209614e+05,3.887600262872840062e+01,5.158610338365696225e+04
2.662662662662662842e+04,4.994924320942565100e+04,3.402986894650235286e+02,4.082223505477069994e+05,3.890373554752186180e+01,5.177312183479295345e+04
2.672672672672672707e+04,4.994923194624261669e+04,3.403960483666751884e+02,4.089364983753793640e+05,3.893126159464470248e+01,5.195968577236698184e+04
2.682682682682682935e+04,4.994922089342063555e+04,3.404916015501838729e+02,4.096473717181939282e+05,3.895858298031966171e+01,5.214579491454715753e+04
2.692692692692692799e+04,4.994921004708905821e+04,3.405853817660559457e+02,4.103549869661945268e+05,3.898570190415562564e+01,5.233144900377691374e+04
2.702702702702703027e+04,4.994919940344554198e+04,3.406774212021906578e+02,4.110593604073750321e+05,3.901262053765884019e+01,5.251664780502340727e+04
2.712712712712712892e+04,4.994918895876413444e+04,3.407677514518338739e+02,4.117605082223538775e+05,3.903934100163237986e+01,5.270139110865537077e+04
2.722722722722722756e+04,4.994917870937885891e+04,3.408564035903807508e+02,4.124584464957076707e+05,3.906586540441350763e+01,5.288567872462359082e+04
2.732732732732732984e+04,4.994916865168709046e+04,3.409434081641364287e+02,4.131531912138304324e+05,3.909219583090266070e+01,5.306951048367618205e+04
2.742742742742742848e+04,4.994915878215239354e+04,3.410287951816285386e+02,4.138447582631835248e+05,3.911833433301858776e+01,5.325288623837002524e+04
2.752752752752753076e+04,4.994914909730121144e+04,3.411125941319982076e+02,4.145331634326896747e+05,3.914428293528836633e+01,5.343580586191854673e+04
